Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
60,Resurrection,2.6449327354260093,0.7654618834080718,14.0,1.0,139,0.7084618834080717,0.05700000000000007,0.07193721973094175,0.16260089686098658,1.0,0,0.8986551466397067,0
61,Second by White,2.644439461883408,0.8452869955156951,0.0,1.0,167,0.7866322869955158,0.05865470852017938,0.03281614349775784,0.12189686098654706,1.0,0.7122088234057743,1.0,0
62,Second by Leyvraz,2.6442600896860986,0.8616143497757848,17.0,1.0,159,0.7773452914798207,0.0842690582959641,0.04365919282511211,0.09472645739910315,0.9349947741396195,0.4502523141609558,0.8138254378356444,0.5177042992625166
63,Tit For Tat,2.6438789237668163,0.7916502242152467,0.0,1.0,191,0.7265650224215245,0.06508520179372206,0.06386098654708527,0.14448878923766817,1.0,0,1.0,0
64,SpitefulCC,2.6437668161434975,0.5696053811659193,68.0,1.0,179,0.5667892376681615,0.00281614349775785,0.1297488789237668,0.30064573991031385,0.990592029800234,0.7292297979797979,0,0
65,GrudgerAlternator,2.6430269058295965,0.7835022421524663,33.0,1.0,90,0.6422914798206277,0.14121076233183863,0.12552017937219734,0.09097757847533636,0.7922403891217894,0,1.0,1.0
66,Adaptive Tit For Tat: 0.5,2.6408071748878923,0.7909596412556054,0.0,1.0,5,0.725811659192825,0.06514798206278033,0.06378475336322874,0.14525560538116586,1.0,0.39594900330231164,1.0,0
67,Forgiving Tit For Tat,2.6378923766816142,0.7967668161434978,0.0,1.0,75,0.7329730941704036,0.06379372197309423,0.059260089686098694,0.1439730941704036,1.0,0.4953687662552774,1.0,0
68,Contrite Tit For Tat,2.637421524663677,0.788762331838565,0.0,1.0,26,0.723793721973094,0.06496860986547093,0.06374887892376685,0.14748878923766817,1.0,0,1.0,0
69,Second by Getzler,2.634932735426009,0.7955560538116592,23.0,1.0,153,0.752713004484305,0.04284304932735423,0.04039910313901343,0.16404484304932732,0.9672204789469053,0.3815309344524141,0.7221305396253338,0.1646546460101801
70,Dynamic Two Tits For Tat,2.6337892376681618,0.8523811659192825,6.0,1.0,44,0.7889820627802691,0.06339910313901345,0.029466367713004465,0.118152466367713,0.9613539782237087,0.5219757949596185,0.6972650208052874,0.40984929762281963
71,Math Constant Hunter,2.6328923766816144,0.7590762331838565,43.0,1.0,111,0.6480493273542599,0.1110269058295964,0.11212556053811663,0.12879820627802688,0.9042482692023706,0.8388173480338491,0.14088824196307603,0.2250072270483057
72,"Limited Retaliate 3: 0.05, 20",2.631255605381166,0.6292645739910314,65.0,1.0,109,0.611304932735426,0.017959641255605355,0.10665022421524668,0.2640852017937219,0.9462784045752747,0,0.06535520242828798,0.05632616225585105
73,Doubler,2.63,0.8250044843049328,0.0,1.0,43,0.7575784753363229,0.06742600896860991,0.046206278026905835,0.1287892376681614,1.0,0.755746818722741,1.0,0
74,First by Grofman,2.6292825112107625,0.8945874439461884,18.0,1.0,64,0.78552466367713,0.1090627802690583,0.039713004484304926,0.06569955156950671,1.0,0.29003547864443685,0.30977705951810225,1.0
75,Inverse Punisher,2.6284080717488787,0.6382869955156951,64.0,1.0,104,0.6276950672645741,0.010591928251121057,0.0946322869955157,0.2670807174887892,1.0,0,0.22576574666615562,0
76,Second by Yamachi,2.6282959641255608,0.804695067264574,19.0,1.0,169,0.7493721973094171,0.05532286995515695,0.04630044843049326,0.14900448430493268,0.9477841980027512,0.7383872269306712,0.7396811949630023,0.24647210394638588
77,Once Bitten,2.627152466367713,0.7965605381165919,34.0,1.0,119,0.751439461883408,0.04512107623318384,0.04124663677130045,0.16219282511210756,1.0,0.7388226732935476,0.09120781418773125,0.07447874124882943
78,"Limited Retaliate 2: 0.08, 15",2.624506726457399,0.6387757847533633,66.0,1.0,108,0.6145695067264576,0.024206278026905823,0.10508968609865471,0.25613452914798196,0.9563410399516136,0,0.08645334616115957,0.07007984067184758
79,"First by Tideman and Chieruzzi: (D, D)",2.622892376681614,0.706932735426009,189.0,1.0,69,0.6822914798206277,0.024641255605381142,0.07041255605381172,0.22265470852017943,0.9960880230004314,0.1414086571896187,0.446129731364271,0
80,"Stalker: (D,)",2.621367713004484,0.853713004484305,134.0,1.0,180,0.7881973094170406,0.06551569506726453,0.027493273542600782,0.11879372197309412,0.9831163419000202,0.672342374048082,0.8223634048795048,0.18498408858590193
81,Forgiver,2.621300448430493,0.6369641255605382,63.0,1.0,74,0.6284573991031392,0.008506726457399085,0.09340807174887891,0.26962780269058273,1.0,0.7236519261643504,0.12982290053937406,0
82,"Limited Retaliate: 0.1, 20",2.619237668161435,0.641237668161435,65.0,1.0,107,0.6200044843049328,0.02123318385650221,0.10178923766816143,0.2569730941704035,0.9871131903225844,0,0.08926574893041768,0.04784042984983218
83,ShortMem,2.6189910313901343,0.8200941704035875,9.0,1.0,171,0.7659551569506726,0.05413901345291479,0.035973094170403584,0.14393273542600893,0.9999641628440367,0.7076757224612981,0.8388620900941874,0
84,Second by Champion,2.616860986547085,0.8898789237668161,0.0,1.0,150,0.8109596412556054,0.07891928251121076,0.01848878923766814,0.09163228699551564,1.0,0.7420134203684073,1.0,0.23550255421529678
85,Adaptive Pavlov 2011,2.6151569506726453,0.7450986547085202,49.0,1.0,3,0.7134843049327356,0.03161434977578474,0.05594618834080721,0.1989551569506726,0.9859514946516074,0.36491604124770205,0.6234000473553152,0.032285029650506045
86,Retaliate 2: 0.08,2.6134304932735426,0.6291928251121076,72.0,1.0,141,0.6201614349775784,0.009031390134529131,0.09553811659192821,0.2752690582959641,1.0,0,0.07237778980589281,0
87,Second by Harrington,2.6131614349775787,0.7119417040358744,75.0,1.0,157,0.6207578475336324,0.09118385650224216,0.11500896860986544,0.1730493273542601,0.9100133484732426,0.46340015633620985,0.9762724585618334,0.30241124635167876
88,Soft Go By Majority: 5,2.612511210762332,0.8019551569506727,19.0,1.0,85,0.7393542600896861,0.0626008968609866,0.049255605381165926,0.14878923766816143,1.0,0.7278948031756242,0.6193149817864021,0
89,Retaliate: 0.1,2.610134529147982,0.6317937219730941,71.0,1.0,140,0.6208565022421525,0.01093721973094168,0.09454260089686099,0.27366367713004486,1.0,0,0.09439056131308969,0
90,Adaptive Pavlov 2006,2.6085650224215247,0.7274080717488789,51.0,1.0,2,0.6979775784753363,0.029430493273542586,0.061062780269058294,0.21152914798206288,0.979931844650057,0.3031728667988995,0.6302228431373518,0.12348303117071778
91,Delayed AON1,2.608497757847534,0.7711883408071749,27.0,1.0,38,0.6480493273542601,0.12313901345291478,0.1074349775784753,0.12137668161434971,0.9981216896529808,0.14555103951873574,0,1.0
92,Forgetful Grudger,2.6063677130044844,0.6405650224215247,71.0,1.0,73,0.6299596412556054,0.010605381165919258,0.08993273542600898,0.2695022421524664,1.0,0,0.11181364383774584,0
93,Retaliate 3: 0.05,2.60609865470852,0.6075919282511211,71.0,1.0,142,0.600816143497758,0.00677578475336322,0.10294618834080718,0.2894618834080717,1.0,0,0.04407807007352516,0
94,Soft Go By Majority: 20,2.6058071748878926,0.8396143497757848,16.0,1.0,83,0.7772107623318386,0.06240358744394619,0.02917488789237666,0.1312107623318386,1.0,0.794062044620984,0.6880208604335446,0
95,Soft Go By Majority: 10,2.605784753363229,0.8367040358744394,14.0,1.0,82,0.7767174887892376,0.05998654708520182,0.02799551569506726,0.1353004484304933,1.0,0.7725384846478811,0.66598019038504,0
96,Second by Black,2.6046412556053813,0.8695739910313901,0.0,1.0,147,0.7994215246636772,0.07015246636771305,0.019686098654708512,0.11073991031390129,0.9783868342092237,0.7256144371903546,0.742495263262549,0.2965865674653449
97,VeryBad,2.604596412556054,0.8376636771300449,12.0,1.0,198,0.7784843049327355,0.059179372197309406,0.02658295964125559,0.13575336322869952,0.9997723659671763,0.7981850520591326,0.7634829117675025,0
98,Soft Go By Majority: 40,2.600627802690583,0.8428295964125561,13.0,1.0,84,0.775932735426009,0.0668968609865471,0.02899103139013449,0.12817937219730932,1.0,0.8007163173850996,0.6686472709992288,0
99,Slow Tit For Two Tats 2,2.5990134529147983,0.8248789237668162,12.0,1.0,172,0.7685829596412556,0.05629596412556054,0.029802690582959642,0.14531838565022423,1.0,0.7726661101049164,0.3966697875736073,0
100,"Grumpy: Nice, 10, -10",2.5944170403587443,0.8829192825112108,10.0,1.0,91,0.7927219730941706,0.09019730941704031,0.024789237668161435,0.09229147982062781,1.0,0.9788329909726156,0.041900043454842086,0
101,Nice Average Copier,2.593542600896861,0.7887085201793722,28.0,1.0,117,0.7177533632286994,0.07095515695067264,0.05686995515695069,0.15442152466367715,0.8843088320427305,0.523262961250091,0.5843906999594097,0.4317933151597586
102,Second by Appold,2.591053811659193,0.7937399103139013,25.0,1.0,146,0.727744394618834,0.06599551569506723,0.050887892376681586,0.155372197309417,0.9208336757078954,0.5313710256885604,0.7184018125411062,0.33051611633111166
103,Punisher,2.589170403587444,0.6587219730941704,68.0,1.0,133,0.6421659192825112,0.016556053811659168,0.07983408071748879,0.26144394618834077,1.0,0,0.25652093893487976,0
104,Appeaser,2.587242152466368,0.7717399103139013,22.0,1.0,14,0.6467488789237669,0.12499103139013455,0.1044708520179372,0.12378923766816133,1.0,0,0,1.0
105,Worse and Worse 3,2.586860986547085,0.789932735426009,28.0,1.0,206,0.7162645739910315,0.07366816143497756,0.05732286995515693,0.15274439461883407,0.885031134877129,0.5250337993925686,0.589190005161382,0.4448230040756559
106,Win-Stay Lose-Shift,2.5856053811659194,0.776103139013453,22.0,1.0,201,0.6523766816143498,0.12372645739910318,0.10138116591928253,0.12251569506726448,1.0,0,0,1.0
